fdc_id,display_name,description,food_category_id,category_name,protein_g,fat_g,carbs_g,calories_kcal,fiber_g,sodium_mg,serving_size_g,serving_amount,serving_unit
171986,"Fish, tuna, light, canned in water","Fish, tuna, light, canned in water, without salt, drained solids",15,Finfish and Shellfish Products,25.51,0.82,0.0,116.0,0.0,50.0,85.0,3.0,oz
171987,"Fish, tuna, white, canned in oil","Fish, tuna, white, canned in oil, without salt, drained solids",15,Finfish and Shellfish Products,26.53,8.08,0.0,186.0,0.0,50.0,85.0,3.0,oz
171971,"Shrimp, cooked, moist heat","Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)",15,Finfish and Shellfish Products,22.78,1.7,1.52,119.0,0.0,947.0,85.0,3.0,oz
171688,"Apples, raw, with skin","Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",9,Fruits and Fruit Juices,0.26,0.17,13.81,52.0,2.4,1.0,125.0,1.0,"cup, quartered or chopped"
171697,"Apricots, raw","Apricots, raw",9,Fruits and Fruit Juices,1.4,0.39,11.12,48.0,2.0,1.0,155.0,1.0,"cup, halves"
171705,"Avocados, raw","Avocados, raw, all commercial varieties",9,Fruits and Fruit Juices,2.0,14.66,8.53,160.0,6.7,7.0,150.0,1.0,"cup, cubes"
173944,"Bananas, raw","Bananas, raw",9,Fruits and Fruit Juices,1.09,0.33,22.84,89.0,2.6,1.0,225.0,1.0,"cup, mashed"
171711,"Blueberries, raw","Blueberries, raw",9,Fruits and Fruit Juices,0.74,0.33,14.49,57.0,2.4,1.0,148.0,1.0,cup
171719,"Cherries, sweet, raw","Cherries, sweet, raw",9,Fruits and Fruit Juices,1.06,0.2,16.01,63.0,2.1,0.0,138.0,1.0,"cup, with pits, yields"
168191,"Dates, medjool","Dates, medjool",9,Fruits and Fruit Juices,1.81,0.15,74.97,277.0,6.7,1.0,24.0,1.0,"date, pitted"
174683,"Grapes, red or green, raw","Grapes, red or green (European type, such as Thompson seedless), raw",9,Fruits and Fruit Juices,0.72,0.16,18.1,69.0,0.9,2.0,151.0,1.0,cup
168153,"Kiwifruit, green, raw","Kiwifruit, green, raw",9,Fruits and Fruit Juices,1.14,0.52,14.66,61.0,3.0,3.0,180.0,1.0,"cup, sliced"
169910,"Mangos, raw","Mangos, raw",9,Fruits and Fruit Juices,0.82,0.38,14.98,60.0,1.6,1.0,165.0,1.0,cup pieces
169097,"Oranges, raw","Oranges, raw, all commercial varieties",9,Fruits and Fruit Juices,0.94,0.12,11.75,47.0,2.4,0.0,180.0,1.0,"cup, sections"
169928,"Peaches, raw","Peaches, yellow, raw",9,Fruits and Fruit Juices,0.91,0.25,9.54,39.0,1.5,0.0,154.0,1.0,cup slices
169118,"Pears, raw","Pears, raw",9,Fruits and Fruit Juices,0.36,0.14,15.23,57.0,3.1,1.0,140.0,1.0,"cup, slices"
169124,"Pineapple, raw","Pineapple, raw, all varieties",9,Fruits and Fruit Juices,0.54,0.12,13.12,50.0,1.4,1.0,165.0,1.0,"cup, chunks"
169949,"Plums, raw","Plums, raw",9,Fruits and Fruit Juices,0.7,0.28,11.42,46.0,1.4,0.0,165.0,1.0,"cup, sliced"
169134,"Pomegranates, raw","Pomegranates, raw",9,Fruits and Fruit Juices,1.67,1.17,18.7,83.0,4.0,3.0,87.0,0.5,cup arils (seed/juice sacs)
167762,"Strawberries, raw","Strawberries, raw",9,Fruits and Fruit Juices,0.67,0.3,7.68,32.0,2.0,1.0,152.0,1.0,"cup, halves"
167765,"Watermelon, raw","Watermelon, raw",9,Fruits and Fruit Juices,0.61,0.15,7.55,30.0,0.4,1.0,154.0,1.0,"cup, balls"
173735,"Beans, black, cooked, boiled","Beans, black, mature seeds, cooked, boiled, without salt",16,Legumes and Legume Products,8.86,0.54,23.71,132.0,8.7,1.0,172.0,1.0,cup
173740,"Beans, kidney, cooked, boiled","Beans, kidney, all types, mature seeds, cooked, boiled, without salt",16,Legumes and Legume Products,8.67,0.5,22.8,127.0,6.4,1.0,177.0,1.0,cup
173753,"Broadbeans (fava beans), cooked","Broadbeans (fava beans), mature seeds, cooked, boiled, without salt",16,Legumes and Legume Products,7.6,0.4,19.65,110.0,5.4,5.0,170.0,1.0,cup
173757,"Chickpeas, cooked, boiled","Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",16,Legumes and Legume Products,8.86,2.59,27.42,164.0,7.6,7.0,164.0,1.0,cup
172421,"Lentils, cooked, boiled","Lentils, mature seeds, cooked, boiled, without salt",16,Legumes and Legume Products,9.02,0.38,20.13,116.0,7.9,2.0,198.0,1.0,cup
172470,"Peanut butter, smooth, without salt","Peanut butter, smooth style, without salt",16,Legumes and Legume Products,22.21,51.36,22.31,598.0,5.0,17.0,32.0,2.0,tbsp
